"","dow","temp","BAR_OR_TAVERN"
"963","Friday",77.6,0.363636363636364
"964","Saturday",75.3,0.409090909090909
"965","Sunday",75.2,0.545454545454545
"966","Monday",75.6,0.0909090909090909
"967","Tuesday",76.5,0.0454545454545455
"968","Wednesday",78.2,0.0454545454545455
"969","Thursday",76.7,0.136363636363636
"970","Friday",79.3,0.181818181818182
"971","Saturday",71.5,0.227272727272727
"972","Sunday",68.4,0.363636363636364
"973","Monday",75.2,0.0909090909090909
"974","Tuesday",77,0
"975","Wednesday",73.4,0.0909090909090909
"976","Thursday",71.1,0.181818181818182
"977","Friday",68.2,0.181818181818182
"978","Saturday",69.6,0.545454545454545
"979","Sunday",70.3,0.363636363636364
"980","Monday",72.2,0.272727272727273
"981","Tuesday",71.4,0
"982","Wednesday",72.7,0.181818181818182
"983","Thursday",73.8,0.136363636363636
"984","Friday",73,0.272727272727273
"985","Saturday",69.9,0.545454545454545
"986","Sunday",72.6,0.454545454545455
"987","Monday",73.8,0
"988","Tuesday",69.5,0.0454545454545455
"989","Wednesday",72.5,0.0454545454545455
"990","Thursday",71.6,0.227272727272727
"991","Friday",71.5,0.272727272727273
"992","Saturday",71.5,0.409090909090909
"993","Sunday",69.1,0.636363636363636
"994","Monday",63,0.136363636363636
"995","Tuesday",66.2,0.0454545454545455
"996","Wednesday",69.4,0
"997","Thursday",73.3,0.0909090909090909
"998","Friday",72.6,0.227272727272727
"999","Saturday",71.4,0.454545454545455
"1000","Sunday",70,0.181818181818182
"1001","Monday",68.2,0.136363636363636
"1002","Tuesday",72.4,0.0454545454545455
"1003","Wednesday",65.4,0.0454545454545455
"1004","Thursday",60.6,0.318181818181818
"1005","Friday",61.2,0.136363636363636
"1006","Saturday",63,0.272727272727273
"1007","Sunday",68.9,0.818181818181818
"1008","Monday",64.2,0.136363636363636
"1009","Tuesday",63.3,0.0909090909090909
"1010","Wednesday",64.2,0.0454545454545455
"1011","Thursday",60.8,0.136363636363636
"1012","Friday",64.9,0.136363636363636
"1013","Saturday",63.6,0.227272727272727
"1014","Sunday",63.3,0.227272727272727
"1015","Monday",65.7,0.0454545454545455
"1016","Tuesday",63,0.0454545454545455
"1017","Wednesday",61.4,0.0909090909090909
"1018","Thursday",64.8,0.136363636363636
"1019","Friday",62.7,0.181818181818182
"1020","Saturday",66.9,0.181818181818182
"1021","Sunday",64.9,0.363636363636364
"1022","Monday",58,0.181818181818182
"1023","Tuesday",56.4,0
"1024","Wednesday",64.8,0.0909090909090909
"1025","Thursday",65.3,0.0454545454545455
"1026","Friday",67,0.0909090909090909
"1027","Saturday",61,0.454545454545455
"1028","Sunday",55.1,0.545454545454545
"1029","Monday",61.1,0.0454545454545455
"1030","Tuesday",64.6,0.136363636363636
"1031","Wednesday",58.9,0.0454545454545455
"1032","Thursday",53.3,0.0454545454545455
"1033","Friday",54,0.363636363636364
"1034","Saturday",60.1,0.545454545454545
"1035","Sunday",63.1,0.590909090909091
"1036","Monday",59.3,0.181818181818182
"1037","Tuesday",52.6,0.0909090909090909
"1038","Wednesday",50,0.227272727272727
"1039","Thursday",48.5,0.227272727272727
"1040","Friday",49.1,0.0909090909090909
"1041","Saturday",43.1,0.181818181818182
"1042","Sunday",44.6,0.454545454545455
"1043","Monday",54.9,0.0909090909090909
"1044","Tuesday",53.1,0
"1045","Wednesday",56.5,0.318181818181818
"1046","Thursday",49.9,0.0909090909090909
"1047","Friday",58.3,0.227272727272727
"1048","Saturday",56.4,0.363636363636364
"1049","Sunday",49.4,0.590909090909091
"1050","Monday",51.4,0.0909090909090909
"1051","Tuesday",45.9,0.136363636363636
"1052","Wednesday",46.5,0
"1053","Thursday",58.7,0.181818181818182
