"","dow","temp","TOTAL_CRIMES"
"856","Wednesday",48.8,0.518279569892473
"857","Thursday",54.3,0.354838709677419
"858","Friday",51.5,0.387096774193548
"859","Saturday",48.9,0.447311827956989
"860","Sunday",51.7,0.410752688172043
"861","Monday",49.8,0.410752688172043
"862","Tuesday",52.4,0.425806451612903
"863","Wednesday",53.1,0.331182795698925
"864","Thursday",55.1,0.443010752688172
"865","Friday",58.9,0.604301075268817
"866","Saturday",58.9,0.582795698924731
"867","Sunday",59.1,0.488172043010753
"868","Monday",57.5,0.561290322580645
"869","Tuesday",58.3,0.468817204301075
"870","Wednesday",62.9,0.535483870967742
"871","Thursday",54.4,0.509677419354839
"872","Friday",49.7,0.617204301075269
"873","Saturday",55.2,0.716129032258065
"874","Sunday",67.6,0.675268817204301
"875","Monday",57.4,0.696774193548387
"876","Tuesday",55.4,0.647311827956989
"877","Wednesday",61.2,0.501075268817204
"878","Thursday",66.1,0.365591397849462
"879","Friday",58,0.361290322580645
"880","Saturday",47.5,0.496774193548387
"881","Sunday",49.6,0.541935483870968
"882","Monday",57.9,0.451612903225806
"883","Tuesday",59.2,0.720430107526882
"884","Wednesday",60.4,0.554838709677419
"885","Thursday",59.2,0.619354838709677
"886","Friday",60.7,0.56989247311828
"887","Saturday",61.7,0.591397849462366
"888","Sunday",70.2,0.817204301075269
"889","Monday",65,0.675268817204301
"890","Tuesday",64.5,0.733333333333333
"891","Wednesday",68.9,0.58494623655914
"892","Thursday",68.4,0.619354838709677
"893","Friday",60.2,0.703225806451613
"894","Saturday",62.1,0.572043010752688
"895","Sunday",63.5,0.718279569892473
"896","Monday",65.4,0.670967741935484
"897","Tuesday",68,0.589247311827957
"898","Wednesday",67.9,0.546236559139785
"899","Thursday",64.9,0.473118279569892
"900","Friday",66.1,0.653763440860215
"901","Saturday",68.4,0.810752688172043
"902","Sunday",69.5,0.78494623655914
"903","Monday",69.1,0.563440860215054
"904","Tuesday",70.6,0.640860215053763
"905","Wednesday",65.9,0.533333333333333
"906","Thursday",63.4,0.52258064516129
"907","Friday",66.5,0.445161290322581
"908","Saturday",70,0.49247311827957
"909","Sunday",70.9,0.754838709677419
"910","Monday",72.9,0.662365591397849
"911","Tuesday",73.5,0.427956989247312
"912","Wednesday",73.5,0.524731182795699
"913","Thursday",73.9,0.754838709677419
"914","Friday",70.3,0.666666666666667
"915","Saturday",62.3,0.709677419354839
"916","Sunday",62.9,0.756989247311828
"917","Monday",63.6,0.724731182795699
"918","Tuesday",71.6,0.47741935483871
"919","Wednesday",73.7,0.563440860215054
"920","Thursday",72.5,0.524731182795699
"921","Friday",72,0.587096774193548
"922","Saturday",71,0.604301075268817
"923","Sunday",68.9,0.425806451612903
"924","Monday",70.5,0.520430107526882
"925","Tuesday",66.3,0.6
"926","Wednesday",69.1,0.49247311827957
"927","Thursday",72.6,0.412903225806452
"928","Friday",72.9,0.587096774193548
"929","Saturday",74.2,0.612903225806452
"930","Sunday",74.5,0.550537634408602
"931","Monday",73.8,0.494623655913978
"932","Tuesday",74.3,0.520430107526882
"933","Wednesday",74.2,0.505376344086022
"934","Thursday",73.1,0.572043010752688
"935","Friday",73.6,0.632258064516129
"936","Saturday",70.8,0.587096774193548
"937","Sunday",70.4,0.655913978494624
"938","Monday",74.9,0.636559139784946
"939","Tuesday",76.7,0.606451612903226
"940","Wednesday",72.1,0.544086021505376
"941","Thursday",67.2,0.806451612903226
"942","Friday",74,0.666666666666667
"943","Saturday",70,0.967741935483871
"944","Sunday",69.4,0.855913978494624
"945","Monday",72.4,0.574193548387097
"946","Tuesday",69.3,0.443010752688172
"947","Wednesday",68.4,0.537634408602151
"948","Thursday",72.3,0.511827956989247
"949","Friday",72,0.535483870967742
"950","Saturday",73,0.58494623655914
"951","Sunday",75.4,0.610752688172043
"952","Monday",72.4,0.494623655913978
"953","Tuesday",73.1,0.412903225806452
"954","Wednesday",75.3,0.449462365591398
"955","Thursday",75.9,0.408602150537634
"956","Friday",76.7,0.481720430107527
"957","Saturday",78.1,0.593548387096774
"958","Sunday",77,0.559139784946237
"959","Monday",70.2,0.563440860215054
"960","Tuesday",69.9,0.526881720430108
"961","Wednesday",73.1,0.378494623655914
"962","Thursday",75,0.47741935483871
"963","Friday",77.6,0.572043010752688
"964","Saturday",75.3,0.72258064516129
"965","Sunday",75.2,0.58494623655914
"966","Monday",75.6,0.627956989247312
"967","Tuesday",76.5,0.470967741935484
"968","Wednesday",78.2,0.486021505376344
"969","Thursday",76.7,0.531182795698925
"970","Friday",79.3,0.713978494623656
"971","Saturday",71.5,0.606451612903226
"972","Sunday",68.4,0.675268817204301
"973","Monday",75.2,0.595698924731183
"974","Tuesday",77,0.544086021505376
"975","Wednesday",73.4,0.797849462365591
"976","Thursday",71.1,0.462365591397849
"977","Friday",68.2,0.660215053763441
"978","Saturday",69.6,0.70752688172043
"979","Sunday",70.3,0.716129032258065
"980","Monday",72.2,0.625806451612903
"981","Tuesday",71.4,0.490322580645161
"982","Wednesday",72.7,0.518279569892473
"983","Thursday",73.8,0.582795698924731
"984","Friday",73,0.716129032258065
"985","Saturday",69.9,0.69247311827957
"986","Sunday",72.6,0.729032258064516
"987","Monday",73.8,0.752688172043011
"988","Tuesday",69.5,0.653763440860215
"989","Wednesday",72.5,0.683870967741935
"990","Thursday",71.6,0.72258064516129
"991","Friday",71.5,0.606451612903226
"992","Saturday",71.5,0.69247311827957
"993","Sunday",69.1,0.804301075268817
"994","Monday",63,0.673118279569892
"995","Tuesday",66.2,0.606451612903226
"996","Wednesday",69.4,0.610752688172043
"997","Thursday",73.3,0.604301075268817
"998","Friday",72.6,0.550537634408602
"999","Saturday",71.4,0.647311827956989
"1000","Sunday",70,0.604301075268817
"1001","Monday",68.2,0.634408602150538
"1002","Tuesday",72.4,0.701075268817204
"1003","Wednesday",65.4,0.660215053763441
"1004","Thursday",60.6,0.587096774193548
"1005","Friday",61.2,1
"1006","Saturday",63,0.782795698924731
"1007","Sunday",68.9,0.759139784946237
"1008","Monday",64.2,0.61505376344086
"1009","Tuesday",63.3,0.638709677419355
"1010","Wednesday",64.2,0.690322580645161
"1011","Thursday",60.8,0.518279569892473
"1012","Friday",64.9,0.643010752688172
"1013","Saturday",63.6,0.668817204301075
"1014","Sunday",63.3,0.649462365591398
"1015","Monday",65.7,0.486021505376344
"1016","Tuesday",63,0.621505376344086
"1017","Wednesday",61.4,0.574193548387097
"1018","Thursday",64.8,0.567741935483871
"1019","Friday",62.7,0.627956989247312
"1020","Saturday",66.9,0.572043010752688
"1021","Sunday",64.9,0.612903225806452
"1022","Monday",58,0.634408602150538
"1023","Tuesday",56.4,0.468817204301075
"1024","Wednesday",64.8,0.56989247311828
"1025","Thursday",65.3,0.623655913978495
"1026","Friday",67,0.582795698924731
"1027","Saturday",61,0.666666666666667
"1028","Sunday",55.1,0.32258064516129
"1029","Monday",61.1,0.520430107526882
"1030","Tuesday",64.6,0.63010752688172
"1031","Wednesday",58.9,0.567741935483871
"1032","Thursday",53.3,0.552688172043011
"1033","Friday",54,0.58494623655914
"1034","Saturday",60.1,0.604301075268817
"1035","Sunday",63.1,0.681720430107527
"1036","Monday",59.3,0.705376344086021
"1037","Tuesday",52.6,0.572043010752688
"1038","Wednesday",50,0.539784946236559
"1039","Thursday",48.5,0.511827956989247
"1040","Friday",49.1,0.501075268817204
"1041","Saturday",43.1,0.632258064516129
"1042","Sunday",44.6,0.651612903225806
"1043","Monday",54.9,0.683870967741935
"1044","Tuesday",53.1,0.623655913978495
