"","dow","BAR_OR_TAVERN"
"993","Sunday",0.636363636363636
"994","Monday",0.136363636363636
"995","Tuesday",0.0454545454545455
"996","Wednesday",0
"997","Thursday",0.0909090909090909
"998","Friday",0.227272727272727
"999","Saturday",0.454545454545455
"1000","Sunday",0.181818181818182
"1001","Monday",0.136363636363636
"1002","Tuesday",0.0454545454545455
"1003","Wednesday",0.0454545454545455
"1004","Thursday",0.318181818181818
"1005","Friday",0.136363636363636
"1006","Saturday",0.272727272727273
"1007","Sunday",0.818181818181818
"1008","Monday",0.136363636363636
"1009","Tuesday",0.0909090909090909
"1010","Wednesday",0.0454545454545455
"1011","Thursday",0.136363636363636
"1012","Friday",0.136363636363636
"1013","Saturday",0.227272727272727
"1014","Sunday",0.227272727272727
"1015","Monday",0.0454545454545455
"1016","Tuesday",0.0454545454545455
"1017","Wednesday",0.0909090909090909
"1018","Thursday",0.136363636363636
"1019","Friday",0.181818181818182
"1020","Saturday",0.181818181818182
"1021","Sunday",0.363636363636364
"1022","Monday",0.181818181818182
"1023","Tuesday",0
"1024","Wednesday",0.0909090909090909
"1025","Thursday",0.0454545454545455
"1026","Friday",0.0909090909090909
"1027","Saturday",0.454545454545455
"1028","Sunday",0.545454545454545
"1029","Monday",0.0454545454545455
"1030","Tuesday",0.136363636363636
"1031","Wednesday",0.0454545454545455
"1032","Thursday",0.0454545454545455
"1033","Friday",0.363636363636364
"1034","Saturday",0.545454545454545
"1035","Sunday",0.590909090909091
"1036","Monday",0.181818181818182
"1037","Tuesday",0.0909090909090909
"1038","Wednesday",0.227272727272727
"1039","Thursday",0.227272727272727
"1040","Friday",0.0909090909090909
"1041","Saturday",0.181818181818182
"1042","Sunday",0.454545454545455
"1043","Monday",0.0909090909090909
"1044","Tuesday",0
"1045","Wednesday",0.318181818181818
"1046","Thursday",0.0909090909090909
"1047","Friday",0.227272727272727
"1048","Saturday",0.363636363636364
"1049","Sunday",0.590909090909091
"1050","Monday",0.0909090909090909
"1051","Tuesday",0.136363636363636
"1052","Wednesday",0
"1053","Thursday",0.181818181818182
"1054","Friday",0.181818181818182
"1055","Saturday",0.5
"1056","Sunday",0.454545454545455
"1057","Monday",0.136363636363636
"1058","Tuesday",0.136363636363636
"1059","Wednesday",0.181818181818182
"1060","Thursday",0.181818181818182
"1061","Friday",0.0909090909090909
"1062","Saturday",0.318181818181818
"1063","Sunday",0.454545454545455
"1064","Monday",0.181818181818182
"1065","Tuesday",0.0454545454545455
"1066","Wednesday",0.181818181818182
"1067","Thursday",0.227272727272727
"1068","Friday",0.136363636363636
"1069","Saturday",0.318181818181818
"1070","Sunday",0.272727272727273
"1071","Monday",0.0454545454545455
"1072","Tuesday",0.227272727272727
"1073","Wednesday",0.0909090909090909
"1074","Thursday",0.0909090909090909
"1075","Friday",0.136363636363636
"1076","Saturday",0.363636363636364
"1077","Sunday",0.363636363636364
"1078","Monday",0.0454545454545455
"1079","Tuesday",0.0454545454545455
"1080","Wednesday",0.0454545454545455
"1081","Thursday",0.136363636363636
"1082","Friday",0.181818181818182
"1083","Saturday",0.363636363636364
"1084","Sunday",0.136363636363636
"1085","Monday",0.136363636363636
"1086","Tuesday",0.0454545454545455
"1087","Wednesday",0
"1088","Thursday",0.136363636363636
"1089","Friday",0.136363636363636
"1090","Saturday",0.136363636363636
"1091","Sunday",0.0454545454545455
"1092","Monday",0.0454545454545455
"1093","Tuesday",0
"1094","Wednesday",0
"1095","Thursday",0.136363636363636
"1096","Friday",0.181818181818182
